search_category,job_title,company_name,location,job_description,salary,experience_years
Business Analyst,Operations Analyst,The AZEK Company,"Mays Landing, NJ 08330","Operations Analyst
The Operations Analyst plays a key role in advancing the company’s Digital Transformation by bridging the gap between Operations, IT, and Business Intelligence. This position supports and enhances ERP functionality, Excel-based product configurators, and reporting tools including Power BI, SSRS, Telerik, and Crystal Reports. The ideal candidate is a technically minded, detail-oriented problem solver who works comfortably with data, systems, and process improvement to drive efficiency, streamline workflows, and enable data-driven decision-making that improves productivity, cost, and quality.
Key Responsibilities
Support ERP users by troubleshooting issues, ensuring data accuracy and process efficiency, improving data integrity, and streamlining workflows.
Develop, maintain, and enhance Excel-based product configurators integrated with the ERP system to streamline quoting, BOM setup, and order processing.
Design, build, and maintain Power BI dashboards, SSRS, and Crystal Reports used across manufacturing, operations, finance, and sales.
Gather reporting requirements and deliver actionable insights to Operations, Finance, and Leadership teams.
Manage and optimize data models, queries, and integrations across ERP, MES, WMS, and BI systems.
Identify and implement automation, integration, and process improvement opportunities.
Support the company’s digital transformation roadmap, modernizing legacy systems and driving data-driven operations.
Assist with ERP documentation, training, and process mapping as needed.
Qualifications
Education: Bachelor’s degree in Computer Science, Information Systems, Data Analytics, or a related field (Operations or Industrial Engineering also acceptable).
Experience: 2–5 years in ERP support, reporting, or data-driven business applications within a manufacturing environment.
Technical Skills:
Proficiency with ERP systems (Seradex, Epicor, Microsoft Dynamics, Syspro, or similar).
Advanced Excel (formulas, Power Query; VBA a plus).
Experience with Power BI, SSRS, Telerik, and Crystal Reports.
Working knowledge of SQL and relational databases.
Atlassian’s JIRA for Daily Tracking and Service Management
Agile methodology
Soft Skills:
Strong analytical mindset and problem-solving ability.
Effective communication and collaboration across technical and non-technical teams.
Ability to manage multiple priorities in a fast-paced environment.
Preferred Qualifications
Experience integrating data between ERP and BI systems.
Understanding of manufacturing metrics (OEE, throughput, scrap, etc.).
Familiarity with Power Automate, Python, or other automation tools.
Compensation & Benefits:
Base salary $70,000 – $90,000 (dependent on market and experience).
Generous bonus to significantly boost earning potential.
Full benefits, career development, and the strength of James Hardie behind you.
The AZEK Company was acquired by James Hardie.
James Hardie is the industry leader in exterior home and outdoor living solutions, with brands including Hardie®, TimberTech®, AZEK® Exteriors, Versatex®, fermacell®, and StruXure®. With 8,000+ employees worldwide, we’re united by our purpose of Building a Better Future for All™ through sustainable innovation, a Zero Harm culture, and a commitment to empowering our people and communities. For more information, visit www.jameshardie.com.
Following The AZEK Company's acquisition by James Hardie, we remain committed to providing a fair and equitable employment experience for all candidates.
James Hardie Building Products Inc. is an equal opportunity employer. All qualified applicants will receive consideration without regard to protected characteristics under applicable law.
Equal Opportunity Employer
This employer is required to notify all applicants of their rights pursuant to federal employment laws. For further information, please review the Know Your Rights notice from the Department of Labor.
Job Type: Full-time
Pay: $70,000.00 - $90,000.00 per year
Benefits:
401(k)
401(k) matching
Health insurance
Paid time off
Vision insurance
Application Question(s):
Have you applied with us before?
Have you worked with us before (Contract or Direct Hire)?
To ensure we can provide appropriate support throughout the hiring process, do you currently require, or might you require in the future, visa sponsorship (e.g., H-1B, TN) to work in the United States for this position?
Work Location: In person","$70,000 - $90,000 a year",2-5
Business Analyst,Commercial Analyst (Remote Available),S&S Activewear LLC,"220 Remington Blvd # 300, Bolingbrook, IL 60440","JOIN US AND ""CREATE YOUR VISION""
ABOUT US
S&S Activewear is a leading North American, tech-enabled specialty distributor of imprintable apparel, including t-shirts, fleece, athletic wear, headwear, workwear, scrubs and accessories. We pride ourselves on being the “critical link” that enables our 100+ brand partners such as Adidas, Columbia and Gildan to reach our hyper-fragmented base of customers, comprised of apparel decorators, eRetailers and promotional products distributors that embellish apparel items for diverse end consumer use cases (e.g., everyday wear, concerts, fitness attire, life events, team sports, etc.). At S&S, we differentiate in the market through a customer service focus, strategic product portfolio, world-class distribution infrastructure, a collaborative growth culture and a relentless focus on technology and innovation.
Our success has compounded since the Company’s humble beginnings in 1988 as a regional t-shirt distributor to a leading, multi-billion-dollar value-added distribution platform that drives market penetration for our suppliers while enabling growth, operations and fulfillment for a diverse range of customers across channels and business sizes. We strive to be the apparel distributor of choice while inspiring and fostering growth for customers, employees and suppliers through our core values of service, deep relationships, innovation, continuous improvement and accountability.
ABOUT THE ROLE
The Commercial Analytics Analyst will play a key role in developing and delivering data-driven insights that inform tactical & strategic decisions, drive sales performance, and support the Sales team within the assigned region. This individual will conduct performance reporting and analysis, build and maintain Power BI dashboards, and work cross-functionally with Sales, other Commercial functions and FP&A to identify opportunities for growth and operational excellence.
The ideal candidate is highly analytical, proficient at translating data into actionable recommendations, and comfortable collaborating with Sales Representatives and Sales Leadership.
Monday-Friday, Full-Time, Exempt
Remote Available
WHAT YOU WILL DO
Reporting, Insights & Analysis
Collaborate with Sales to identify key short- and long-term performance drivers and develop actionable insights that unlock growth opportunities.
Support weekly, monthly, and quarterly business reviews with performance reporting and activation recommendations.
Conduct deep-dive analyses on sales performance, customer behavior, business drivers, and marketing initiatives to identify trends, risks, and opportunities.
Design, build, and maintain Power BI dashboards and KPI frameworks to track performance & activation metrics.
Partner with Data Science to quantify the impact of commercial activities and guide prioritization of initiatives.
Prepare monthly and quarterly performance reporting packages with clear and actionable insights for senior leadership.
Perform ad hoc analysis to support quarterly priorities, planning & forecasting, campaign tracking, and strategic planning.
Translate sales performance data into P&L impact to inform decision-making.
Cross-Functional Collaboration
Partner closely with Sales and Commercial Strategy and Planning to align reporting, analysis, and execution with business objectives.
Support FP&A with data input and insights for forecasting, planning, and financial reviews.
Collaborate with Sales on pipeline analyses, territory performance, customer segmentation, and opportunity identification.
Serve as a liaison between data/BI teams and commercial stakeholders to ensure data consistency and integrity.
Data Management & Process Improvement
Drive continuous improvement of data visualization, reporting processes, and performance management tools.
Assist in integrating data from multiple sources (e.g., CRM, ERP, external market data) for unified analysis and reporting.
WHAT WE’RE LOOKING FOR
Bachelor’s degree in Business, Economics, Finance, Analytics, or related field.
3+ years of experience in a analytics, insights, business intelligence, or sales operations role within B2B industries.
Advanced skills in Power BI with demonstrated experience designing and maintaining dashboards for business stakeholders.
Strong analytical skills with expertise in performance reporting, KPI tracking, and variance analysis.
Proven ability to work effectively cross-functionally with Sales, Strategy, Merchandising, Marketing, RGM, Strategy and FP&A teams, translating data into business recommendations.
Advanced proficiency in Excel; familiarity with SQL or other query languages and/or Snowflake experience is a plus.
Excellent communication and presentation skills with the ability to simplify complex data for non-technical audiences.
Excellent data storytelling skills—can build intuitive dashboards and present insights clearly to both technical and non-technical audiences
Familiarity with statistical analysis or forecasting methods.
Physical Demands
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. While performing the duties of this job, the employee is regularly required to talk or listen.
Working Environment
This job operates in a professional office environment. This role routinely involves standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines. Reasonable accommodation may be made to enable people with disabilities to perform the essential functions.
Equal Opportunity Employer
S&S Activewear welcomes people of all backgrounds and experiences and are committed to creating a diverse culture and supporting human growth. We are proud to be an equal opportunity employer and is committed to providing equal opportunity for all employees and applicants. We conduct business without regard to sex, race, creed, color, religion, marital status, national origin, citizenship status, age, pregnancy, sexual orientation, gender identity or expression, genetic information, disability, military status, status as a veteran, or any other protected characteristic. Our policy is to recruit, hire, train, promote, assign, transfer, and terminate employees based on their own ability, achievement, experience and conduct and other legitimate business reasons. S&S participates in E-Verify and will provide the federal government with your Form I-9 information to confirm you are authorized to work in the U.S. This job offer is contingent upon the completion of a satisfactory background check.",N/A,3+
Business Analyst,Senior Business Development Analyst,BMC Berkeley Medical Center,"Martinsburg, WV 25401","Welcome! We’re excited you’re considering an opportunity with us! To apply to this position and be considered, click the Apply button located above this message and complete the application in full. Below, you’ll find other important information about this position.
Provides support for business operations and growth across the system through reporting and visualization of demographic, market, encounter, and other data visualizations. Conduct secondary data research through the collection and interpretation of encounter and market data. Conduct primary data research including conducting interviews and administering questionnaires, surveys, and focus groups. Present data visually in a manner to support senior leadership decision-making. Build relationships with and among providers and leadership to support service analysis and growth.
MINIMUM QUALIFICATIONS :
EDUCATION, CERTIFICATION, AND/OR LICENSURE:
1. Bachelor’s Degree in Business , Statistics, Math, Computer Science, or Market Research
EXPERIENCE:
1. F ive (5) years of experience in business intelligence, strategy support, analytics, data warehouse extraction, or data visualization.
PREFERRED QUALIFICATIONS :
EDUCATION, CERTIFICATION, AND/OR LICENSURE:
1. Certification in Market Research and/or Analytics
2. Certified Business Intelligence Professional (CBIP) certification
3. Master’s Degree in Business Informatics and/or analytics
4. Tableau Certification
EXPERIENCE:
1. Seven (7) years of experience in business intelligence, strategy support, analytics, data warehouse extraction, or data visualization.
CORE DUTIES AND RESPONSIBILITIES: The statements described here are intended to describe the general nature of work being performed by people assigned to this position. They are not intended to be constructed as an all-inclusive list of all responsibilities and duties. Other duties may be assigned.
1. Monitor and Forecast demographic and health care service trends .
2. Develop s reporting to support analysis of services and growth opportunities .
3. Consistently gather, validate , analyze, report, and act on data collected .
4. Measure effectiveness of physician placement, marketing tactics, and provider outreach .
5. Gather and analyze competitor data and market conditions .
6. Convert data into digestible information packets .
7. Convert relevant information into easily understandable visualizations .
8. Conduct primary research, including conducting interviews and administering questionnaires, surveys and focus groups .
9. Segment and analyze consumer and prospect data and customer preferences .
10. Build relationships with providers and service line management .
11. Gather, analyze and report regularly market share, referral, and trend data .
12. Create , update, and modify Tableau reporting to meet the needs of senior leadership , physicians, and other key stakeholders.
13. Suggest ideas for improvement or opportunities for data analysis .
14. Contribute to strategic planning efforts .
PHYSICAL REQUIREMENTS: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
1. Requires extended periods of sitting.
WORKING ENVIRONMENT: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
1. Cognizant of environmental factors, infection control issues and maintains a safe environment.
*SKILLS AND ABILITIES:
*
1. Critical thinking/problem-solving, analytics, and interpersonal relationship building .
2. Proficient in data warehouse extraction and data visualization (Tableau, Power BI, etc ) .
3. Proficient in Microsoft Office software .
4. Knowledge of medical terminology .
5. Proficient verbal and writing skills.
6. Proficient mathematical skills.
7. Knowledgeable in data validation best practices
Additional Job Description:
Scheduled Weekly Hours:
40
Shift:
Exempt/Non-Exempt:
United States of America (Exempt)
Company:
BMC Berkeley Medical Center
Cost Center:
511 UH Planning and Clinical Development
Address:
2500 Hospital Drive
Martinsburg
West Virginia
*Equal Opportunity Employer
*
West Virginia University Health System and its subsidiaries (collectively ""WVUHS"") is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices laws. WVUHS strictly prohibits and does not tolerate discrimination against employees, applicants, or any other covered persons because of race, color, religion, creed, national origin or ancestry, ethnicity, sex (including gender, pregnancy, sexual orientation, and gender identity), age, physical or mental disability, citizenship, past, current, or prospective service in the uniformed services, genetic information, or any other characteristic protected under applicable federal, state, or local law. All WVUHS employees, other workers, and representatives are prohibited from engaging in unlawful discrimination. This policy applies to all terms and conditions of employment, including, but not limited to, hiring, training, promotion, discipline, compensation, benefits, and termination of employment.",N/A,N/A
Business Analyst,Associate Analyst - Master Data,Energy Transfer Partners,N/A,N/A,N/A,N/A
Business Analyst,Workforce Management Analyst,"First Cash, Inc.","Coppell, TX 75019","Description

Workforce Management Analyst

The Workforce Management Analyst will support the performance and operational excellence of our multi-site, blended contact center environment. This role will play a pivotal part in optimizing staffing models, managing workforce data, and enabling real-time and strategic decisions through advanced reporting and analytics. The role is faster than average pace and requires a detail-oriented individual who understands how to apply analytical thinking concepts in areas of problem solving and decision making. This role is essential to our success and is a critical partner in the optimization of our contact center scheduling to provide Best-in-Class service to our customers.

ROLES AND RESPONSIBILITIES

Generate and maintain forecasts using historical data, seasonal trends, and business inputs.
Collaborate with WFM planners to create optimized agent schedules that align with service goals and staffing budgets.
Conduct shrinkage, occupancy, and headcount modeling to support hiring and workforce strategies.
Identify risks and recommend actionable adjustments to meet SLAs and KPIs across multiple channels (voice, chat, email).
Design and deliver interactive dashboards and automated reports in Power BI to track agent productivity, schedule adherence, service levels, and interval-level performance.
Perform root-cause analysis on performance gaps (e.g., under/over staffing, absenteeism, unproductive time).
Own the generation of daily, weekly, and monthly reporting packages for stakeholders.
Partner with stakeholders to correlate performance trends with coaching and training outcomes.
Responsible for the data integrity of WFM system (or comparable WFM tools) to ensure accuracy of schedules, real-time adherence, agent profiles, and reporting data.
Maintain system configurations, troubleshoot integration issues (ACD/CRM), and liaise with IT and vendor support teams.
Lead user onboarding, role assignments, and maintenance of system documentation and SOPs.
Other duties as assigned by management.

QUALIFICATIONS AND EDUCATION REQUIREMENTS

2+ years of experience in Workforce Management within a contact center environment.
Proficiency in NICE IEX WFM or a comparable platform (e.g., Verint, Calabrio, Aspect).
Advanced Excel and Power BI experience; ability to translate raw data into insights.
Strong understanding of call center metrics (AHT, service level, adherence, shrinkage, etc.).
Demonstrated ability to synthesize complex datasets and communicate clear business insights.
Deep understanding of forecasting, scheduling, and performance optimization
Excellent time management and cross-functional collaboration skills.
PREFERRED SKILLS · Experience supporting multi-site or blended onshore/nearshore workforce. · Familiarity with relational databases and querying (SQL). · Exposure to real-time management practices and intraday staffing adjustments. · Strong communication and executive presentation skills.

About FirstCash Holdings, Inc.
FirstCash Holdings, Inc. is the leading international operator of pawn stores and a premier provider of technology-driven point-of-sale payment solutions, both dedicated to serving cash- and credit-constrained consumers.
With over 3,000 pawn stores across 29 U.S. states, the District of Columbia, and Latin America—including Mexico, Guatemala, Colombia, and El Salvador—FirstCash offers a diverse selection of pre-owned jewelry, electronics, tools, appliances, sporting goods, musical instruments, and more. In addition, our stores provide small, non-recourse pawn loans secured by pledged personal property, offering accessible financial solutions to the communities we serve.
Through our wholly owned subsidiary, American First Finance (AFF), FirstCash also delivers lease-to-own and retail finance payment solutions for consumer goods and services. With a nationwide network of over 13,000 retail merchant partners, we help customers access flexible financing options tailored to their needs.
With a workforce of approximately 20,000 employees across the U.S. and Latin America, FirstCash is committed to excellence, innovation, and financial inclusion. As a recognized industry leader, the company is a proud component of both the S&P MidCap 400 Index® and the Russell 2000 Index®, reflecting our strength and stability in the market.
Join FirstCash and be part of a company that values integrity, customer service, and growth.
-
Note: The information contained in this description is not intended to be an all-inclusive list of the duties and responsibilities of this job or the skills and abilities required to do the job. Management has the discretion to assign/reassign duties and responsibilities to this job at any time. Duties and responsibilities may be subject to change at any time due to reasonable accommodation or other reasons.
Submission of your application confirms your “opt-in” desire to receive additional phone, text and email communications from the FirstCash Talent Acquisition Team. These communications include information about the specific job you applied for and other potential opportunities available at FirstCash. Message and data rates may apply. You can unsubscribe to text messages by replying STOP to the message at any time. You can unsubscribe from email communications by clicking unsubscribe, within the email, at any time. Visit https://firstcash.com/privacy-policy for additional questions or information.
FirstCash Holdings, Inc. is an Equal Opportunity Employer
FirstCash Holdings, Inc. is committed to the full inclusion of all qualified individuals. In keeping with this commitment, FirstCash will ensure that individuals with disabilities are provided with reasonable accommodation. Accordingly, if a reasonable accommodation is required to fully participate in the job application or interview process; to perform the essential functions of the job; and/or to receive all other benefits and privileges of employment, please contact Human Resources at Recruiter_US@firstcash.com or (800)645-2611 Ext. 1",N/A,2+
Business Analyst,Adminstrative Analyst,RIM Recruitment Professionals,"Miami, FL 33131","Salary: Market related
Reference: JOB-37297
Job Title: Administrative Analyst

Location: Brickell
Position Summary

My client is looking for a highly organized and proactive Administrative Analyst to join their Miami office. This role is integral to ensuring smooth administrative and accounting operations, with a particular focus on billing processes and comprehensive back-office support.
Responsibilities

Perform administrative and accounting functions, especially related to billing and invoicing
Provide back-office support to the operations and finance teams
Utilize tools like Microsoft Excel, QuickBooks, and Microsoft Dynamics
Support subscription and technology platform processes
Prioritize tasks efficiently and maintain organized workflows
Solve problems independently and anticipate team needs
Requirements

Associate/Bachelor's degree in Business Administration, Accounting, or a related field
Minimum of 2 years of experience in administrative/accounting functions, especially billing
Fluency in Spanish and English (written and spoken)
Strong Microsoft Excel skills
Experience with QuickBooks and Microsoft Dynamics (desirable)
Strong aptitude for quickly learning new technologies and systems
Excellent organization, prioritization, and communication skills
Exceptional attention to detail
Rapid problem-solving abilities
Must be willing to work 100% on-site
#RIMUS",N/A,2+
Business Analyst,Identity & Access Management Analyst,Acadia Healthcare,"6100 Tower Circle, Franklin, TN 37067","Overview:
PURPOSE STATEMENT:
The Identity & Access Management (IAM) Analyst is an essential member of the IT Cybersecurity team, responsible for implementing, managing, and supporting IAM solutions to ensure secure access to systems and applications, safeguard patient data, and protect sensitive information. This role involves monitoring and reporting, conducting access reviews, and resolving IAM issues. The IAM Analyst collaborates closely with other IT and security teams and assists in policy development. This position requires technical skills, good problem-solving abilities, and a commitment to delivering high-quality IAM services that align with organizational goals and regulatory requirements.
Responsibilities:

ESSENTIAL FUNCTIONS:
IAM Implementation & Management
Support the implementation and configuration of advanced IAM solutions and technologies, including identity provisioning, access management, single sign-on (SSO), multi-factor authentication (MFA), and privileged access management (PAM), to meet business requirements and security standards.
Administer identity and access management systems, including user provisioning, de-provisioning, and access controls, to maintain system integrity and security.
Manage Active Directory object administration and security, including users, groups, and OUs, ensuring proper configuration and compliance.
Support planning and redesign activities involving the SAF process and Ivanti, ensuring effective user acceptance testing and deployment.
Risk Management & Incident Response
Monitor and analyze user access patterns to identify potential security risks or violations.
Provide technical support and troubleshooting for IAM systems, resolving issues, investigating root causes, and implementing corrective actions to ensure system availability and performance.
Governance & Policy Development
Assist with the maintenance and enforcement of IAM policies, standards, and procedures, ensuring compliance with healthcare regulations such as HIPAA, HITECH, and state privacy laws, as well as industry standards and best practices.
Participate in IAM-related projects and initiatives, including system upgrades, enhancements, and integrations, providing technical expertise, testing support, and comprehensive documentation.
Contribute to the evaluation, selection, and implementation of new IAM technologies, tools, and solutions to enhance security, improve efficiency, and support business objectives.
Cross-Functional Collaboration
Collaborate with cross-functional teams, including IT, Cybersecurity, compliance, and business units, to assess IAM requirements, design solutions, and address technical challenges in support of business initiatives.
Engage with internal stakeholders and external vendors to integrate IAM solutions with other IT systems and applications, ensuring seamless interoperability and enhanced security.
Mentorship & Training
Share knowledge and assist junior team members as needed.
Engage in continuous learning and professional development within the IAM team.
OTHER FUNCTIONS:
Perform other tasks as assigned.
STANDARD EXPECTATIONS:
Complies with organizational policies, procedures, performance improvement initiatives and maintains organizational and industry policies regarding confidentiality.
Develops constructive and cooperative working relationships with others and maintains them over time.
Encourages and builds mutual trust, respect and cooperation among team members.
""Location: This position is based at Acadia Healthcare's corporate office in Franklin, TN. The first 90 days in this role will be fully in-person to ensure comprehensive onboarding and training.
After the initial period, the position will transition to a hybrid model, with 2 days remote and 3 days in the office each week. ""
Qualifications:
EDUCATION/EXPERIENCE/SKILL REQUIREMENTS:
Bachelor’s degree or equivalent work experience.
Minimum 3 years in an IAM role.
Experience managing IAM systems and infrastructure in complex, multi-site environments.
Working knowledge of various Windows client operating systems.
Good problem-solving skills with the ability to analyze issues, troubleshoot technical problems, and implement effective solutions in a timely manner.
Familiarity with common information security management frameworks, such as ITIL, Center for Internet Security (CIS), Critical Security Controls (CSC), and NIST, including 800-63 and relevant ISSO/IEC standards.
Basic scripting skills (e.g., PowerShell, Python) for automating IAM tasks.
Experience conducting IAM audits and implementing security controls.
Familiarity with IAM tools and technologies (e.g., SailPoint, Okta, Microsoft Azure AD, CyberArk).
Understanding of authentication and authorization protocols (e.g., SAML, OAuth, OpenID Connect).
Significant experience with directory services (e.g., Active Directory, LDAP).
Experience with cloud IAM and hybrid environments is a plus.
Ability to work professionally with sensitive, proprietary data & information while maintaining confidentiality.
Excellent interpersonal skills including the ability to interact effectively and professionally with individuals at all levels; both internal and external.
Ability to work independently and collaboratively in a fast-paced environment, manage multiple priorities, and deliver results under pressure while maintaining a focus on quality and compliance.
Self-motivated with strong organizational skills and superior attention to detail.
Capable of working within established policies, procedures, and practices prescribed by the organization.
Proficient in English to provide and receive instructions and directions.
Dedicated to professional growth and continuous learning, staying current with industry trends, best practices, and emerging technologies in IAM and healthcare security.

LICENSES/DESIGNATIONS/CERTIFICATIONS:
Certifications: Desired but not required: CompTIA A+, CompTIA Security+, Certified Information Systems Security Professional (CISSP), Certified Information Security Auditor (CISA), other IAM-related certifications
SUPERVISORY REQUIREMENTS: This position is an Individual Contributor

AHCORP
#LI-AH
#LI-KC2",N/A,3+
Business Analyst,Logistics Data and Invoicing Analyst,Quest Financial,"Duluth, GA 30096","Our client located in Duluth, GA is looking for a Logistics Data & Invoicing Analyst.
In Office, Monday - Friday 8am - 5pm
Pay Rate: Starting at $27/hr DOE
3 month temp, possible Temp-to-Hire
Join a dynamic logistics department for a special project running through at least year-end, with potential to transition into a permanent role. You’ll use your advanced Excel and analytical skills to investigate invoicing history, applied payments, and tariff-related agreements.
Qualifications:
Excel expertise: advanced formulas, pivot tables, v-lookups, data analysis and reporting.
Solid experience with invoicing, billing, and customer payment terms (B2B preferred).
Strong attention to detail, problem-solving ability, and professional communication.
College degree in business, finance/accounting, data analytics, or related field preferred (associate degree plus relevant experience acceptable).
Reliable, team-oriented, and able to work onsite daily in Duluth, GA.
Job Type: Temporary
Pay: From $27.00 per hour
Work Location: In person",From $27 an hour,N/A
Business Analyst,Business Support Analyst,4FRONT Engineered Solutions,N/A,N/A,"From $69,000 a year",N/A
Business Analyst,Sales Data & Strategy Analyst – Global Revenue Operations,Solera,"1500 Solana Boulevard, Westlake, TX 76262","Who We Are
Solera is a global leader in data and software services that strives to transform every touchpoint of the vehicle lifecycle into a connected digital experience. In addition, we provide products and services to protect life’s other most important assets: our homes and digital identities. Today, Solera processes over 300 million digital transactions annually for approximately 235,000 partners and customers in more than 90 countries. Our 6,500 team members foster an uncommon, innovative culture and are dedicated to successfully bringing the future to bear today through cognitive answers, insights, algorithms and automation.
The Role
We are seeking a detail-oriented and analytical Sales Operations Analyst to join our dynamic Global Revenue Operations team. The ideal candidate will be responsible for supporting sales initiatives through data analysis, process optimization, and reporting. You will play a key role in enhancing the efficiency of our sales operations, enabling our sales team to achieve their targets and drive revenue growth.
What You’ll Do
Analyze sales data to identify trends, opportunities, and challenges that impact sales performance
Develop and maintain sales dashboards and reports to provide actionable insights to the sales team and management
Collaborate with sales leadership to define and track key performance indicators (KPIs) for sales success
Assist in the development and implementation of sales processes and best practices to improve operational efficiency
Support sales forecasting and territory planning by providing data-driven insights and recommendations
Coordinate with cross-functional teams, including Marketing and Finance, to ensure alignment of sales strategies and objectives
Conduct regular audits of sales data to ensure accuracy and integrity of information in CRM systems
Prepare and present regular sales performance reviews and reports to stakeholders
Assist in the development of training programs for sales staff on tools, processes, and best practices
Stay updated on industry trends, competitive landscape, and best practices in sales operations
What You’ll Bring
Bachelor’s degree in business, Finance, Marketing, or a related field
2+ years of experience in sales operations, analytics, or a similar role
Advanced-level proficiency in Microsoft Excel
Proficiency in data analysis tools (e.g., Tableau, Power BI) and CRM software (e.g., Salesforce)
Strong analytical and problem-solving skills with keen attention to detail
Excellent communication and interpersonal skills, with the ability to collaborate effectively across teams and present findings to stakeholders
Experience in project management, with the ability to manage multiple projects in a fast-paced environment
Understanding of sales processes and revenue generation strategies is a plus
Adaptability to adjust to a rapidly changing environment with evolving priorities
It is impossible to list every requirement for, or responsibility of, any position. Similarly, we cannot identify all the skills a position may require since job responsibilities and the Company’s needs may change over time. Therefore, the above job description is not comprehensive or exhaustive. The Company reserves the right to adjust, add to or eliminate any aspect of the above description. The Company also retains the right to require all employees to undertake additional or different job responsibilities when necessary to meet business needs.
Job Type: Full-time
Pay: $10.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Vision insurance
Application Question(s):
Salary expectations
Ability to Commute:
Westlake, TX 76262 (Required)
Work Location: In person",N/A,2+
Business Analyst,BSA Compliance Analyst,Public Service Credit Union,"7665 Merriman Road, Romulus, MI 48174","Description:
Location: Romulus, Michigan (Hybrid - 3 days remote, 2 days onsite)
We are seeking a detail-oriented and experienced BSA Compliance Analyst to support the day-to-day operations of our Bank Secrecy Act (BSA)/Anti-Money Laundering (AML) compliance program. This role involves complex investigations, regulatory reporting, and supporting the Credit Union’s compliance with all applicable BSA/AML/OFAC laws and regulations. This is an exciting opportunity to be part of a collaborative risk management team and help ensure the financial integrity of our organization.
Key Responsibilities:
Assist in the daily execution and oversight of the BSA compliance program.
Serve as the primary point of contact for Verafin, coordinating updates, model configurations, and training opportunities with the Customer Success Manager.
Conduct due diligence, monitoring, deposit posting, and board reporting for cannabis-related businesses.
Prepare and file Suspicious Activity Reports (SARs) in accordance with regulatory and internal policy requirements.
Perform quality control reviews of Currency Transaction Reports (CTRs) and SARs.
Conduct moderately complex investigations into potential money laundering, fraud, and terrorist financing activities.
Assist the BSA Officer with audit and examination requests related to BSA/AML/OFAC compliance.
Support periodic assessments of the Credit Union's compliance program and help update the BSA/AML Risk Assessment.
Track and monitor documentation and registration renewals for Money Service Businesses (MSBs) and private ATM owners.
Handle complex, high-risk customers and alerts.
Collaborate with other departments and support Risk Team initiatives as needed.
Requirements:
Minimum 2 years of experience in BSA/AML compliance within financial institutions.
Deep understanding of relevant regulations, including the Bank Secrecy Act, USA PATRIOT Act, and OFAC.
Strong Analytical, technical, and investigative skills.
Proficiency with Excel and strong documentation/research capabilities.
Excellent attention to detail and ability to manage multiple priorities.
Strong verbal and written communication skills.
Verafin experience preferred but not required.
What We Offer
Competitive wages
Career growth/robust training program
Work life balance
Top quality health insurance (Full Time)
Paid Time Off (accrued and available for use immediately)
Paid Holidays (Full Time)
Banking hours / Closed on Sunday's
Tuition Reimbursement
401(k) Plan
Dental & Vision Insurance (Full Time)
Short & Long-Term Disability (Full Time)
Life Insurance (Full Time)
Why join us? At PSCU, we are dedicated to our mission of educating, equipping, and empowering both our team and the communities we serve. By joining us, you'll be part of a culture that listens to your ideas, supports your growth, elevates and celebrates your achievements, cares for your well-being, and serves with purpose. Together, we create a meaningful impact, and we invite you to be a part of our journey!
To apply, please complete the online application and attach an up-to-date resume.",N/A,2+
Business Analyst,BSA Compliance Analyst,,N/A,N/A,N/A,N/A
