search_category,job_title,company_name,location,salary,experience_years,final_job_description,state
Business Analyst,Asset Management Analyst,PREIT Services,"2005 Market Street, Philadelphia, PA 19103",75000.0 - 85000.0,2-5,title asset management analyst summary support regional asset manager relates company strategy goal includes limited budgeting forecasting leasing analysis deal execution due diligence analysis project align preit objective essential function support leadership preit portfolio lease execution create update annual property budget creating forecasting model region argus excel develop pro formas projection leasing representative help negotiating transaction develop track proformas redevelopment project closely property management accounting staff coordinating collection effort responding various tenant inquiry relating co tenancy cam audit various lease clause build maintain quarterly covenant calculation term reporting participate regional production meeting ensure action item addressed timely manner monitor performance property identifying operation challenge implement strategy respond review lease comment leasing representative evaluate impact proposed change landlords risk develop appropriate response tenant prepare financial projection property portfolio property consideration development carry special assignment project assigned management assist acquisition disposition refinance initiative bachelors degree accounting finance real estate business management masters degree highly desirable year commercial real estate financial analysis contract real estate law combination equivalent education necessary effectively perform strong interpersonal comfortable working level management leadership ownership joint venture partner external advisor excellent written verbal communication detail orientation demonstrated ability multitask effectively strong analytical competency use microsoft office suite excel powerpoint using argus yardi plus type full time pay per year benefit k health insurance application question highest educational degree achieved many years commercial real estate financial analysis contract real estate law rate excel beginner intermediate advanced ability commute philadelphia pa person,PA
Business Analyst,IT Business Analyst,Insight Global,"Richmond, VA 23230",83200.0 - 124800.0,,overview seeking detail oriented analytical analyst join dynamic ideal play crucial analyzing interpreting data support decision making process within organization requires strong understanding various data analysis tool methodology well project management software development life cycle sdlc analyst collaborate cross functional enhance data driven strategy optimize business operation conduct thorough business analysis identify opportunity improvement efficiency utilize data analysis interpret complex datasets generate actionable insight develop maintain report using tool tableau power bi looker participate agile project management methodology ensure timely delivery project collaborate stakeholder gather translate technical specification design implement etl process data integration using tool like talend oracle create manage database design ensuring optimal performance microsoft sql server write script python r vba bash unix shell automation data manipulation task document process using visio facilitate clear communication across stay updated industry trend best practice analytics data management proven business analysis data analysis related field proficiency sql database querying manipulation familiarity sdlc principle project management practice analytics tool tableau power bi looker similar platform knowledge programming language python r vba bash unix shell strong understanding etl process database design concept excellent analytical ability solve complex problem effectively strong communication collaborating technical non technical stakeholder ability independently well part fast paced environment join u leverage technology drive business success type full time contract pay per hour expected hour per week benefit k dental insurance health insurance vision insurance business analysis year preferred richmond va ability commute richmond va person,VA
Business Analyst,Software Asset Management Analyst,Applied Medical,"22872 Avenida Empresa, Rancho Santa Margarita, CA 92688",65000.0 - 90000.0,,applied medical new generation medical device company proven business model commitment innovation fueled rapid business growth expansion company developing manufacturing advanced surgical technology year earned strong reputation excellence healthcare field unique business model combined dedication delivering highest quality product enables member contribute larger capacity possible typical software asset management analyst applied medical offer make meaningful impact enterprise software strategy gaining hand across broad business landscape closely local cross functional drive cost saving improve software compliance youll play key reducing cost footprint analyzing license utilization ensuring pay use youll also gain valuable tool like flexera servicenow building expertise asset management licensing strategy contract management software procurement key analyze software licensing agreement vendor contract ensure compliance cost optimization maintain enhance software asset repository configuration dashboard reporting tool collaborate cross functional manage software procurement deployment process conduct software compliance review true ups audit identify risk saving opportunity develop maintain sam policy procedure support entitlement inventory tracking prepare licensing documentation effective license contract negotiation support budgeting cost allocation effort providing financial data cost analysis troubleshoot licensing related issue coordination support success look like drive software compliance cost saving proactive license management ensure accurate software asset record across organization lead cross functional initiative improve software procurement deployment process communicate effectively stakeholder support licensing decision audit contribute continuous improvement sam policy reporting capability support strategic planning reliable financial licensing data requires following attribute bachelors degree technology computer science related field equivalent relevant minimum three year least two year asset management itam software asset management sam strong understanding microsoft licensing model research method proficiency software license management tool enterprise software agreement advanced excel pivottables vlookup statement macro software discovery tool data collection methodology excellent analytical organizational problem solving strong verbal written communication ability interpersonal ability manage multiple priority adapt changing business need preferred following attribute preferred proven managing microsoft enterprise agreement volume licensing agreement strong understanding major software vendor particularly sap proficiency software asset management sam tool especially flexera using servicenow asset tracking workflow management industry certification international association asset manager iaitam certified software asset manager csam certified asset manager citam technology procurement contract review enterprise software management benefit competitive compensation range year california comprehensive benefit package training mentorship opportunity campus wellness activity education reimbursement program k program discretionary match generous vacation accrual paid holiday schedule please note compensation range may adjusted future bonus incentive compensation plan may total reward package reflects commitment growth well invest development offer range benefit designed enhance career life compensation benefit subject plan document written agreement applied medical qualified applicant receive consideration employment without regard age ancestry color disability mental physical exercising right family care medical leave gender expression gender identity genetic marital status medical condition military veteran status national origin political affiliation race religious creed sex pregnancy childbirth breastfeeding related medical condition sexual orientation status protected federal state local law applied medical operates,CA
Business Analyst,Data Analyst Manager,"FCC Finance, LLC","Plano, TX 75024",50000.0 - 65000.0,5+,company overview fcc finance llc dedicated providing financing option homeowner looking improve home regardless credit history mission empower customer make dream home reality transparent flexible affordable home improvement loan summary seeking data analyst manager located u play crucial driving data driven decision making within organization vital enhancing ability exceptional financing solution align mission empowering homeowner lead mentor data analyst ensure high quality data analysis reporting collect implement data strategy support business objective enhance decision making collaborate cross functional identify data need deliver actionable insight lead mentor collector suporting performance compliance utilize advanced analytical tool tableau r python data visualization reporting monitor key performance indicator kpis track business performance identify trend accumen finance working large enterprise collection mortgage highly perferred bachelors degree data science statistic finance related field year proven managerial within data analytics related field proficiency sql microsoft sql server tableau r python strong analytical business analysis methodology preferred familiarity project management principle plus excellent communication conveying technical non technical stakeholder ability collaboratively oriented environment type full time pay per year benefit k match dental insurance flexible spending account health insurance health saving account life insurance vision insurance ability commute plano tx preferred ability relocate plano tx relocate starting preferred person,TX
Business Analyst,Lutz Tech + Power BI Developer,Lutz and Company,"Omaha, NE 68154",,1-2,company lutz level experienced year professional type full time omaha ne person lutz business solution firm partnering customer expert advisory compliance service accounting financial tech talent dont offer service deliver peace mind aligning matter client member embodying promise mind matter lutz people greatest asset thats weve built supportive inspiring environment centered around core value integrity humanity brainpower confidence foster atmosphere professional development encouraged idea valued life balance buzzword tech data analytics lutzs data analytics bridge gap data decision making partner client across industry simplify complex uncover insight matter whether were helping client streamline operation track kpis real time deliver solution make impact its fast moving tech forward curiosity critical thinking communication come together turn data decision like think make impact power bi developer develop maintain enhance interactive power bi report design robust data model efficiently transform raw data meaningful datasets using power query dax fine tune power bi solution optimal performance scalability security closely business analyst data engineer end user gather understand kpis ensure bi solution meet exceed business need conduct thorough testing ensure data accuracy report integrity reliability bi solution stay updated latest power bi feature industry best practice emerging bi trend continuously improve existing solution propose innovative enhancement bachelors degree data analytics applied mathematics mi related field minimum year data analytics closely related field proficient power bi desktop service report builder advanced dax complex calculation skilled power query language performing data transformation strong understanding data modeling relational database star schema design proficient sql data querying manipulation reporting ability combine analyze disparate data source extract meaningful insight strong critical thinking problem solving applying technical solution business need demonstrated ability translate business clear technical specification excellent written verbal communication presenting technical concept non technical stakeholder familiarity tool platform microsoft sql server azure oracle tableau dynamic language like python r java html knowledge microsoft fabric power bi fabric certification preferred benefit investment incentive competitive base matching k program profit sharing new client referral incentive professional certification exam incentive lifestyle balance paid holiday pto flexible schedule appreciation event social event family outing professional development formal mentor program continuing education leadership development program professional membership semi annual performance evaluation advancement opportunity certification professional license support health wellness comprehensive medical vision dental insurance healthcare dependent care flex spending account health saving account short term long term disability insurance life insurance company wellness event assistance program office perk dress day attire firm sponsored meal breakfast friday bottomless soda snack confidential consideration prompt response wwwlutzus current opportunity were looking forward mp type full time application question power bi professional setting person,NE
Business Analyst,"ERP Business Analyst-Coffee Manufacturing, Lincoln, CA (Onsite)",San Francisco Bay Coffee,"Lincoln, CA",75660.0 - 94575.0,3-5,passionate bridging gap business need technology solution were seeking collaborative detail oriented business analyst join youll closely stakeholder across multiple department finance operation moreto understand analyze process deliver solution drive efficiency growth excel communication thrive oriented environment enjoy solving complex challenge make meaningful impact benefit medical vision dental k life insurance health saving account costco membership reimbursement discount san francisco bay coffee mission cultivate unrivaled quality strong partnership sustainable practice pouring heart every cup come join u making san francisco bay coffee loved coffee world san francisco bay coffee established san francisco bay coffee operates family owned coffee company third generation focused innovation sustainability san francisco bay coffee international network farmer treat supplier extended member family offer variety coffee product sourced farm worldwide one cup range bag size various roast level brand also sell coffee related merchandise san francisco bay coffee sell via following channel club regional national grocery store online san francisco bay coffee committed sustainable eco friendly farming production san francisco bay coffee family maintained tradition quality exceptional service since inception cemented reputation expert coffee world spearheading innovation create high quality affordable coffee product summary business system analyst supporting analysis optimization various aspect within erp system sf bay coffee documenting current as is process designing future to be process acting liaison among stakeholder ensures deep understanding organizations structure policy operation recommend solution drive efficiency support growth enterprise system ideal combine strong analytical ability translate business need actionable technical ensuring solution align sf bay coffees strategic objective assist help desk reported erp issue providing technical support end user troubleshoot problem solve report finding end user understand need translate erp system solution develop deliver training program material educate employee erp system usage best practice collaborate department integrate erp system business application strong analytical problem solving ability analyze complex business process data ability handle multiple task priority effectively ensure pertinent system user guide training documentation complete current stored appropriately perform variety business analysis ad hoc analytical support develop insight business recommendation comply company policy procedure demonstrating strong commitment food safety good manufacturing practice gmp support product integrity operational excellence regulatory compliance education proven erp analyst similar strong track record successful erp system implementation support preferably microsoft business central data analysis tool reporting software plus eg jet power bi year minimum trade preferred manufacturing environment preferred spanish preferred support analysis optimization erp system particularly microsoft dynamic excellent communication interpersonal ability collaboratively across strong attention detail commitment data accuracy security ability troubleshoot test document result assist training end user document training quick guide data analysis tool reporting software plus eg jet powe r bi reasearch document current endto end process identify gap opportunity ability handle different project concurrently trait presentation ethic communication self motivated goal orientated ability perform task independently minimum supervision strong interpersonal excellent communication written verbal analytical aptitude problem solving organizational presentation onsite lincon ca schedule mon fri pm pay range annually type full time sf bay coffee offer employee full benefit medical vision dental k life insurance health saving account discount costco membership renewal eeo statement qualified applicant receive consideration employment without regard race color religion sex sexual orientation gender identity national origin protected veteran status disability status fair chance act san francisco bay coffee consider qualified applicant criminal history pursuant california fair chance act need disclose criminal history participate background check conditional offer made making conditional offer running background check san francisco bay coffee concerned conviction directly related given chance explain circumstance surrounding conviction mitigating evidence challenge accuracy background report find fair chance act visiting civil right department fair chance act crd cagov webpage,CA
Business Analyst,Business Analyst/Product Owner - Healthcare Technology,"Practical Administrative Solutions, LP","209 Sigma Drive, Pittsburgh, PA 15238",90000.0 - 140000.0,3-5,business analyst product owner healthcare technology pittsburgh pa ridc park overview building modern healthcare technology transform senior care support program inclusive care elderly pace working contribute solution improve care delivery streamline operation strengthen compliance across healthcare landscape seeking business analyst strong agile serve product owner ideal proactive research oriented take ownership initiative concept delivery requires someone partner stakeholder conduct independent research propose enhancement move product vision forward key manage product backlog defining prioritizing refining user story maximize business value translate complex business need clear testable acceptance criterion conduct research industry best practice regulation user workflow inform product direction anticipate stakeholder need collaborate closely development qa design ensure clarity remove ambiguity support delivery partner stakeholder across clinical operational compliance function validate ensure alignment organizational goal clearly communicate product vision rationale diverse audience ensuring shared understanding priority objective evaluate delivered feature acceptance criterion adoption metric user feedback confirm success identify recommend opportunity process improvement workflow efficiency product enhancement year business analyst product owner similar software development demonstrated ability break complex workflow actionable user story strong agile scrum backlog refinement sprint planning stakeholder engagement excellent communication facilitation ability simplify complex concept business technical audience proven self starter track record taking initiative conducting independent research driving result proficiency agile tool eg jira azure devops preferred healthcare technology emr ehr system compliance driven industry familiarity cm regulatory framework pace program operation healthcare data standard fhir hl product owner agile certification cspo pspo employment type full time exempt environment physical demand primarily remote occasional travel company site client industry event car plane ability sit computer workstation extended period time frequent participation virtual meeting collaboration across digital platform flexibility working hour may meet project deadline collaborate across type full time pay per year benefit k dental insurance assistance program flexible spending account health insurance health saving account life insurance referral program vision insurance ability commute pittsburgh pa preferred ability relocate pittsburgh pa relocate starting preferred person,PA
Business Analyst,"Analyst, Medication Management",Health Support Center,"Brentwood, TN",,2-5,summary analyst business system cerner support request incident facility current support cerner system well provides technology support lifepoint health facility provides pharmacy clinical support throughout life medication cycle assist deployment technology upgrade various system assist design implementation build within cerner system related medication management process related technology directly hospital setting configuration system reviewing process providing training testing facilitating go live process well offering ongoing support essential function aspect support lifepoint health facility limited training oversight building maintaining clinical system assisting ensuring policy followed establishing maintaining ensuring pharmacy department understands process appropriateness retaining cerner system education field system informatics pharmacy service build cerner millennium pharmnet powerchart testing test script creation validation strong excel pivot table crosswalk data building order set catalogue formulary order sentence power plan related medication process post request incident resolution hospital support center hsc smes lifepoint facility ensure system performing designed coordinate needed activity ensure continued compliance efficiency clinical system support data analytics need operation hsc business owner fulfill assigned delegated manager director engages facility pharmacy staff vendor others hsc individual facility support use technology contained clinical system support short long term operational strategic business activity developing enhancing maintaining operational assist facility maintaining clinical system documenting optimizing workflow respective solution cerner environment building oncology power plan plus ccl discern rule writing plus formulary service vendor update multum assigned education knowledge clinical designation licensure pharmacy cpht least year implementation support cerner millennium pharmnet education minimum education h diploma preferred college degree knowledge year cerner pharmnet year hospital pharmacy business mathematical ability add subtract multiply divide unit measure using whole number common fraction decimal ability compute rate ratio percentage draw interpret graph technical computer demonstrate use intermediate computer operation basic programming relational database operating system intermediate software package complex communication frequently communicates complex interacts management present resolve address delicate situation motivate persuade others varied business problem problem diverse complex requiring analysis interpretation situation problem solved using knowledge general precedent practice environment travel environmental characteristic described representative may encounter performing essential function may made enable individual disability perform essential working site well lit ventilated climate controlled office environment routine office equipment moving mechanical part noise level environment typical office hospital environment hospital environment individual may exposed hazard unusual element may limited bloodborne pathogen contagious illness toxic chemical,TN
Business Analyst,Dynamics 365 Business Central Analyst,"Bestway USA, Inc.","3435 South Mcqueen Road, Chandler, AZ 85286",100000.0 - 115000.0,,bestway usa passion innovation come life thanks people value diversity believe different background idea perspective help u spread happiness create culture positivity embrace flexibility many offer hybrid home schedule bestway usa selected one top company arizona consecutive year recently generously start employee least day annually least paid holiday hard working casual dog friendly company yes polite playful pup always welcome office invest employee family health believe part total compensation strive keep cost low contribute thousand year every plan premium core value respect recognition accountability leadership communication guide decision making engage others lead dynamic business central analyst focus optimizing dynamic business central module finance sale warehouse management system customer service essential function customize configure dynamic business central system primary emphasis finance sale warehouse management customer service module develop maintain power bi report dashboard actionable insight erp system operating sa platform ensure functionality performance stability dynamic business central system regular update patch training technical support end user enhance proficiency using erp system oversee data integration migration data quality management ensure data accuracy consistency collaborate cross functional improve business process leveraging capability erp system developing custom workflow application applicable implement security measure maintain compliance relevant industry standard regulation within sa based erp system maintain comprehensive documentation system configuration change user manual competency effective efficient oral written communication proficient cal al computer language ability learn new computer language strong math logic judgment decision making ability manage time effectively meet deadline deliverable ability think creatively solve technical problem desire keep current new technology ability collaboratively interact stakeholder education year implementing microsoft dynamic business central microsoft office product training use object oriented language vb c proven expertise microsoft dynamic business central strong focus finance sale warehouse management system customer service module proficiency creating rdlc report power bi report demonstrated ability translate data actionable insight working erp system sa platform highly desirable self motivated willing learn drive continuously improve adapt new challenge prior working office based environment knowledge sql programming language plus certification microsoft dynamic business central plus bestway usa inc proud employment decision bestway based merit ability discriminate upon race religion color national origin gender sexual orientation gender identity gender expression age status protected veteran status individual disability applicable legally protected characteristic,AZ
Business Analyst,Adaptive Skills Training Specialist (Direct Care- BA/BS Degree Required),"Inclusion Services,LLC","Inglewood, CA 90306",62400.0 - 83200.0,,would love make positive impact someones life join today adaptive specialist direct care bachelor degree see please note provides direct service consumer developmental disability starting pay hour program overview inclusion service ic seeking dedicated compassionate ic adaptive specialist join training teaching adaptive training ast adult developmental disability ic ast specialist critical support individual developing necessary daily living creating positive engaging learning environment collaborate closely family provider support agency ensure successful outcome individual community bachelors degree education psychology counseling nursing social applied behavior analysis behavioral medicine speech language rehabilitation marriage family therapy comparable degree human service field minimum one year supporting individual intellectual developmental disability valid certification first aid cpr cpi crisis prevention intervention excellent organizational planning time management excellent interpersonal communication verbal written ability read analyze interpret client ast behavior plan proficient microsoft office case management software bilingual english spanish preferred clear fingerprint criminal background check child abuse index clearance tb screening possess valid california driver license current car insurance ability effectively communicate present consumer family regional center proficient english demonstrate strong written verbal communication willingness complete hour service ongoing education training per year benefit type full time part time mileage reimbursement medical dental vision aflac k match discount verizon first aid cpr cpi training growth free training career development advancement opportunity physical ability lift pound ability bend kneel run stoop physical movement driving various site key service delivery development adaptive training enhance individual existing address deficit key area limited safety needed access community hygiene dressing needed access technology needed buy prepare food competency training housekeeping toileting feeding addressing picky eating food refusal sensory based issue staff personnel training communication managing challenging behavior sleep hygiene choice making specialty counseling teach adaptive related daily living managing money shopping using telephone performing housework individual disability assist development implementation individual program plan ipps based specific need community support promote participation social activity consumer regularly communicate ast professional family residential facility service provider ensure coordination care identify barrier consumer success towards overcoming maintain clean safe healthy environment individual care attend meeting quarterly semi annual meeting related consumer participate ongoing training education train consumer increase activity daily living prompting play visual aid perform related assignment complete hour continuing educational unit ceu annually attend monthly inservice training schedule employment classification full time part time employment status hourly monday friday varies saturday sunday needed holiday office hour needed culver city ca inglewood ca lawndale ca type full time part time pay per hour benefit k dental insurance health insurance vision insurance person,CA
Business Analyst,Analyst – TP Risk Management,Atlas,"Raritan, NJ",124800.0 - 135200.0,3+,analyst tp risk managementrole overview tp risk management analyst performing comprehensive cybersecurity risk assessment third party vendor partner closely cybersecurity risk management business stakeholder evaluate vendor risk develop remediation strategy drive consistency across assessment using servicenow grc key perform cybersecurity third party risk assessment tpras within servicenow grc ensuring accuracy completeness communicate assessment finding recommendation security risk management collaborate stakeholder design implement remediation strategy identified vendor risk consultative guidance cybersecurity business third party risk understanding mitigation identify implement process improvement enhance efficiency consistency tpra operation maintain detailed documentation assessment decision outcome within servicenow service deliverablesservice deliverablefrequencydue dateacceptance criteriaconduct cybersecurity risk assessment servicenow grc third party vendor focusing cybersecurity capability data protection practicesweekly assessment meet mutually agreed criterion defined assessment definition phaseidentify evaluate potential cyber risk associated third party vendor assessing impact data security confidentialityweekly maintain complete accurate record consultation outcome recommendation servicenowprovide third party cybersecurity consulting business unit ensuring awareness key risk best practicesweekly deliverable meet predefined quality standard maintain consultation record recommendation servicenowqualifications bachelor degree security risk management related field equivalent year conducting cybersecurity third party risk assessment hand servicenow grc similar governance risk compliance platform strong understanding cybersecurity framework eg nist iso soc hipaa excellent communication collaboration cross functional analytical mindset attention detail continuous improvement focus success factor ability synthesize complex vendor actionable insight demonstrated consistency delivering high quality time assessment effective stakeholder engagement clear communication risk posture commitment continuous improvement process excellence join atlas type contract pay per hour expected hour per week cybersecurity year ability commute raritan nj person,NJ
Business Analyst,Revenue Operations Specialist,Lucky Lincoln Gaming LLC,"6538 West Dakin Street, Chicago, IL 60634",100000.0 - 120000.0,2-5,lucky lincoln gaming chicago based video gaming terminal operator one fastest growing player illinois partner bar restaurant entertainment venue create best class gaming set u apart technology competitive advantage advanced data analytics proprietary software design leverage tech maximize performance partner stay ahead crowded market culture entrepreneurial pace fast ambition big were building gaming company long term industry leader were building world class revops function ground need sharp curious specialist help u get revenue operation analyst youll intersection sale marketing finance strategy isnt back office reporting its front row seat engine drive revenue across multiple business youll analyze data design system recommend play directly impact growth heres youll take design optimize revops foundation build scalable process playbook automation keep sale laser focused revenue data insight matter turn complex data crystal clear dashboard forecasting model help leadership make better faster decision sale enablement equip rep tool training crm system hubspot give edge cross functional collaboration partner marketing ops finance align revenue strategy across company present insight directly leadership hand highly visible perfect someone want grow fast revops space year revenue operation sale ops related strong hubspot crm bonus youve driven advanced automation integration analytical horsepower excel tableau bi tool translate data action comfortable leading project partnering cross functionally fast paced environment proactive entrepreneurial mindset see gap connect dot move quickly solve problem join u impact day one idea wont sit spreadsheet theyll shape scale exposure leadership directly executive see insight influence strategy high growth environment were scaling quickly creating endless opportunity learn lead grow career culture builder youll join thrives solving problem testing idea getting result run eos lucky lincoln gaming run eos entrepreneurial operating system eos set concept tool designed prioritize vision align streamline process ultimately driving growth accountability throughout organization core value get done attitude take ownership task challenge actively seeking solution utilizing available resource strive resolve issue independently also open seeking guidance necessary bringing forward option idea effectively collaborate star hospitality customer paramount prioritize need sense urgency attentiveness aim exceeding expectation extend hospitality mindset employee colleague recognizing satisfaction contributes overall success positive culture engage customer coworkers respect positivity open communication always others back foster culture collaboration teamwork self propelled strong desire learn grow personally professionally pilot mentality self motivated believe get anywhere want go communicate forward effective communication fundamental success prioritize keeping everyone informed aligned sharing appropriate channel ensure clarity transparency employment lucky lincoln gaming cloud cannabis take flight hospitality aviator coffee cocktail pilot pizza employment opportunity employee applicant employment prohibits discrimination harassment type without regard race color religion age sex national origin disability status genetics protected veteran status sexual orientation gender identity expression characteristic protected federal state local law policy applies term condition employment recruiting hiring placement promotion termination layoff recall transfer leaf absence compensation training committed inclusive equitable workplace accommodation available upon request taking part aspect selection process,IL
Business Analyst,Data Analyst and Internal Customer Service,People One,"Cleveland, OH 44109",100000.0,,growing organisation great culture organisation well established agribusiness seeking strong data internal customer person great culture reporting general manager data analytics customer support business data analytical dashboard reporting internal customer service stakeholder management excellent interpersonal communication build effective working relationship within outside organisation possess strong data analytical strong attention detail ability see bigger picture strong computer literacy power bi type full time pay per year person,OH
Business Analyst,Client-Facing Business Analyst,Kairos Worldwide,Remote,83200.0 - 124800.0,5+,kairos worldwide professional service firm based chicago il support client initiative improve process mitigate risk increase organizational effectiveness control project cost successfully manage change employee consultant partner best area expertise ideal experienced documentation process mapping diagram dashboard development etc strategy brainstorming test script user story analysis client process keen listener possess hand utilizing standard ba administrative tool ideal fit tech savvy capacity complete task fluidly limited direction individual feel comfortable client facing situation primarily via virtual meeting eg microsoft zoom etc five year demonstrated knowledge visio lucidchart powerpoint smartsheet development etc remote environment strongly preferred analyst stakeholder engagement process documentation given preference engagement kick q ideal possesses producing range business analysis output limited business test script user story business process diagram use case diagram user journey self motivated take leadership area assigned ability see big picture solution equally drill low level detail analytical ability understand complex subject transferring knowledge deliverable hand process mapping use visio lucidchart etc develop member note capturing meeting note technical senior level discussion strong presentation development delivery professional polished suitable executive level audience ability suggest improvement collaborate others generate idea improved process essential function critical thinking problem solving comfortable fast paced demand possess ability adapt quickly easily demonstrated ability within collaborative environment project management capability running point project creation project plan etc analyze assist making recommendation regarding complex expansive operation process regular interaction senior level personnel well member staff level organization base bachelor degree hand professional corporate environment ideal utility engineering sector asset year supporting senior level staff intermediate advanced level visio lucidchart similar software smartsheet powerpoint preferred consulting mixture remote onsite travel client site may vast majority remote type contract pay per hour schedule monday friday process mapping year preferred test script year preferred user story year preferred business analysis year preferred remote,
Business Analyst,Workforce Operations Analyst,MHA Systems Inc,"1501 West Fountainhead Parkway, Tempe, AZ 85282",64000.0 - 86000.0,2+,full summary call center workforce operation analyst play key ensuring efficiency effectiveness customer operation forecasting scheduling reporting analyzing workforce performance optimize staffing workflow service level actionable insight support technology platform implement best practice help call center meet business objective regulatory requires someone data driven adaptable passionate improving process fast paced customer focused environment directly impact customer operational success compliance regulatory standard primary workforce planning scheduling develop maintain optimize call center staffing schedule ensure proper coverage across shift forecast call volume staffing workload distribution maximize efficiency service level monitor real time adherence rta adjust staffing needed maintain performance goal conduct intraday performance monitoring make real time decision adjust staffing routing needed address volume fluctuation partner operation manage schedule exception callouts unplanned event support long term capacity planning initiative anticipate future staffing need based business growth seasonal trend campaign change analysis reporting analyze call center metric service level occupancy average handle time dropped call abandoned rate actionable insight performance report leadership recommend strategy improved workforce utilization handling track report sla attainment operational kpis identify area risk proactively address performance gap system technology management manage optimize call center platform ivrs dialers workforce management tool support system integration troubleshoot issue assist end user technology related question support communication schedule change policy update process improvement frontline clear timely manner compliance process improvement ensure adherence legal regulatory standard fdcpa tcpa etc review support call center policy procedure best practice collaborate cross functional identify implement operational improvement year call center customer service year workforce management dialer administration associates degree proficiency microsoft excel formula pivot table advanced function strong analytical problem solving excellent verbal written communication preferred bachelors degree five calabrio wfo dialer platform data visualization bi tool domo power bi sql data extraction reporting understanding workforce planning forecasting real time adherence principle technology support system administration certification workforce management eg swpp icmi attribute data driven decision making attention detail ability prioritize multiple task fast paced environment collaborative mindset strong interpersonal comfortable working across different shift environment physical demand office based standard hour pm pst monday friday occasional weekend may ability sit extended period use hand typing system operation lift lb moderate office noise level travel training certification may type full time pay per year benefit k matching dental insurance assistance program health insurance life insurance vision insurance ability commute tempe az ability relocate tempe az relocate starting type full time pay per year benefit k matching dental insurance assistance program health insurance life insurance referral program retirement plan vision insurance ability commute tempe az ability relocate tempe az relocate starting person,AZ
Business Analyst,Lead AIO Data Analyst/Claims,AIPSO,"302 Central Ave, Johnston, RI 02919",82000.0 - 131000.0,,aipso management organization service provider various insurance industry group administering residual market national organization serf local customer need centralization standardization key many aipso service inherent economy scale efficiency however organization based customer focus recognizes need flexibility serving customer group diverse interest essential lead development claim report effectively support claim performance identify opportunity requires superior understanding claim organizational structure data spreadsheeting financial data ability interact external tpa data manager well aipso insurance operation aio department technology actuarial data finance design implement spreadsheet tool power bi analytical software useable claim examiner identify file requiring oversight well set maintain rolling monthly diary manage file manage end department planss implementation setting project timeline mean regularly review using various project management tool monthly reporting senior management includes working claim counsel claim director regarding project planning implementation challenge assist creating documenting key process procedure conjunction pmo locate build appropriate project management tool various department project establish project timeliness mean regularly review document progress lead compliance effort documenting process assuring department compliance focus creating retaining documentation support senior claim counsel compliance officer managing program assure tpa handling claim consistent fair claim practice education bachelors degree ba b four year college university supplementary insurance education preferred cpcu insurance designation additional appropriate may considered lieu degree demonstrated commitment going insurance education year claim operation paralegal adjuster risk management insurance company operation well understanding legal operation project management previous residual market automobile insurance plan rule regulation preferred knowledge key software data analytical tool project management software proficient use microsoft office productivity tool eg outlook word excel proven ability create coordinate manage multiple project pressing deadline demonstrate strong verbal written communication ability effectively present respond question group individual concisely convey project objective legal professional business leader demonstrate excellent organizational extraordinary attention detail effective problem solving ability analyze complex issue find root cause problem consider wide range alternative acting ability independently interact professionally effectively environment knowledge insurance industry claim legal regulatory insurance environment range annual actual determined number factor scope complexity well cost labor market education training credential internal equity condition employment aipso end employment related decision made non discriminatory basis full compliance federal state local law prohibiting discrimination employment,RI
